PC1,PC2,predict
4.592862857049305,0.16915122374796682,Super Client
-3.1718144476665024,-0.9558647533305458,Casual Client
2.3364340179006855,-0.61367770400532,Good Client
-2.755199340598148,-1.5656380708284898,Casual Client
-0.3491096957789677,1.0935027278927472,Potential Good Client
1.1795253697832708,1.281199791626236,Good Client
0.7664750801772617,0.8183273890620167,Good Client
-2.234759286291382,0.2634341680658273,Casual Client
-2.8777873451303284,-0.05540422143987729,Casual Client
-5.751312135916658,2.2758439047936267,Casual Client
-2.9961920083259965,-1.6540213488353208,Casual Client
-2.680529600982687,-1.5011918125011758,Casual Client
3.5322505292491453,-2.208472046021135,Super Client
-1.3083770281545792,1.9848403749625438,Potential Good Client
-2.734524002975761,-1.788401615211065,Casual Client
4.00180569401621,1.217125547595825,Super Client
-3.116888583662658,0.3355668161604138,Casual Client
-0.2961127406414086,-0.3585824500036127,Casual Client
4.2908307593456785,2.773502308679468,Good Client
-2.1729785188749644,-1.149096369097477,Casual Client
-0.48215781478938197,-1.2038284630612084,Casual Client
3.2050296077076657,2.422899684529702,Good Client
0.2528687109107841,2.2250579789767997,Potential Good Client
0.3614983050032047,1.1338630985848999,Good Client
-1.1459317630043675,2.5278240975807083,Potential Good Client
-2.3474624857946558,-1.4532082606811303,Casual Client
-1.9875023777109635,0.8877319991226991,Potential Good Client
3.979046566091975,0.48399326616434835,Super Client
-1.8428773791973505,-1.541488888549513,Casual Client
4.997416552561026,0.01663012668862441,Super Client
-2.6848514255656073,-0.8569671105429219,Casual Client
-0.09922220291362961,-0.9462886861703282,Casual Client
-2.1062007767714777,-0.6138759574142066,Casual Client
-1.655618238805759,3.0979654821152764,Potential Good Client
2.7873849107913995,0.37701581498553344,Good Client
-2.655400023874353,0.138077936185222,Casual Client
1.7720590004039163,2.0691726740401655,Good Client
-3.0003826635025606,-0.16094269868055155,Casual Client
-2.571779714362504,-1.2618834927551796,Casual Client
2.646687076011734,1.3948342566546401,Good Client
4.06242535737581,-0.6419079873900446,Super Client
-3.2482955382573633,-0.07652579983976766,Casual Client
-2.9482261569080737,-1.156947510683793,Casual Client
-0.7359270765332625,-1.2363242591936685,Casual Client
-3.394419197451981,0.6095344948120708,Casual Client
3.962650146992728,-3.2997560202338003,Super Client
-2.6507217862232326,-0.7122582012614119,Casual Client
-2.8627120755367734,-0.8856458004136321,Casual Client
-2.7036365378164637,0.26831986519888834,Casual Client
1.3900769107113162,4.871024125254415,Good Client
1.11756639975147,-1.0846018355239524,Good Client
5.540890206650761,0.6844248207695665,Super Client
-2.7332008823629463,-1.1470510896077548,Casual Client
5.48439172680998,-1.9216006890760384,Super Client
0.00027569066564853107,1.6011003220123265,Potential Good Client
6.747465823197027,0.5156069822806063,Super Client
3.6089027312175816,-1.1122828861804976,Super Client
-2.4728788086891336,-2.7158506639807483,Casual Client
-2.6821799061717786,-1.3761426301498603,Casual Client
-0.349223084686965,1.6858926420383622,Potential Good Client
3.688219969240044,-0.6532874171110268,Super Client
0.4470899756213565,1.1424846982080286,Good Client
1.5114035255005673,1.6738054075509057,Good Client
0.7148640256707657,1.5115264804635988,Good Client
2.910704705164817,-1.0601970310205717,Super Client
-2.8229921795468482,-1.360249170820203,Casual Client
-3.497024127154688,-1.2819642486970753,Casual Client
4.272455925756892,-0.04085180306719531,Super Client
1.6739546658160323,-0.500157176626261,Good Client
1.2831787742059064,2.0786556156997746,Good Client
3.325124494149271,0.4954605430235842,Super Client
-2.7887798301871918,0.19817718024729566,Casual Client
2.8317361279650552,1.638707687714181,Good Client
-0.1475691880812229,3.196856002067061,Potential Good Client
-1.4401461326237517,-2.105456341459204,Casual Client
-2.9588089063413707,-1.2086831247704442,Casual Client
4.405792028344342,0.15714314319217465,Super Client
6.141000619930322,-1.6669649942854723,Super Client
-2.703221509882926,-2.1849977566762506,Casual Client
0.7081746428724015,0.9462254668458807,Good Client
-2.5720632393710603,-0.03946515825437444,Casual Client
-3.200993537802215,-1.2716978668871532,Casual Client
-3.101474103499827,-0.07288378962055339,Casual Client
-0.09922220291362961,-0.9462886861703282,Casual Client
3.475393578465499,-1.5720855692306746,Super Client
-3.1208953584949977,-0.34673780108031305,Casual Client
-3.0932885484802206,2.138367504323623,Potential Good Client
-1.090765636067501,0.3916290049101043,Potential Good Client
4.375890357075863,-2.200416746748269,Super Client
-1.012049930279797,-1.6703321067496144,Casual Client
-1.0554726748440941,5.953269347552472,Potential Good Client
-3.1981492600078565,-1.2795272979403394,Casual Client
2.0489171156368267,-1.184985639312297,Super Client
-2.8197002084366845,-0.977058073701962,Casual Client
-2.803555047602053,0.26074484373412216,Casual Client
-2.6034705321203933,-1.9353127176732576,Casual Client
0.10656940699284903,2.0956466808323215,Potential Good Client
-3.0178923082555875,-0.26408002425416444,Casual Client
3.7089808916838725,-0.1412500698122379,Super Client
0.43042164290891627,-0.3638401544999214,Good Client
-2.939963086498309,-0.7019255592722531,Casual Client
-2.854498407128531,-0.20776934268282107,Casual Client
4.894677861992735,-0.2723722711518943,Super Client
2.6800117909075363,0.3309190089436068,Good Client
3.474790336191116,-2.074812401311037,Super Client
-2.898062341733578,-1.798985589476299,Casual Client
-2.4324508293420584,0.8653543217448517,Potential Good Client
2.314258301257736,1.0603812692564096,Good Client
-2.18710676829029,-0.9467573656494466,Casual Client
2.556029865698802,-0.3420310422404343,Good Client
3.1881415704695857,-0.4534423529512414,Super Client
2.9164092788631373,0.70267427411044,Good Client
0.07097453983047487,1.7492570616018093,Potential Good Client
2.6144414631592228,-1.162251028929962,Super Client
-0.4697907043298395,2.317281951839336,Potential Good Client
-2.4953014207278623,-0.6567133075129735,Casual Client
4.914340953913369,-2.7471037605678883,Super Client
0.5334614358030417,0.8747281417316556,Good Client
-2.971784901483866,-0.6350209822034653,Casual Client
-2.9367818495295857,-0.9893088316174198,Casual Client
1.226368172667841,1.7421727555887507,Good Client
-2.762106333046546,-0.003089480376682602,Casual Client
-3.7056148486633504,0.43720493802715626,Casual Client
-2.8097015704241155,-1.2569587558905793,Casual Client
